algorithm,iterations,time_sec,memory_bytes,policy_return
Policy Iteration,2,0.09678279998479411,560,-0.8422696944319655
Value Iteration,106,0.014852199994493276,3996,-0.8422696944319655
In-Place VI,106,0.015084100014064461,3876,-0.8422696944319655
Prioritized Sweeping,100,0.03924820001702756,115012,-0.8422696944319655
Sample-Based VI,4000,9.884142499999143,152203,-0.8422696944319655
