depth,sum_P
1,0.99999994
1,1.0
1,1.0
1,1.0
1,0.99999994
1,1.0
1,0.99999994
1,0.99999994
1,0.99999994
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,1.0
2,0.99999994
2,1.0
2,1.0
2,1.0000001
2,0.99999994
2,1.0000001
2,0.99999994
2,0.99999994
2,1.0000001
2,1.0
2,1.0
2,1.0
2,0.99999994
2,1.0
3,1.0
3,1.0000001
3,1.0
3,1.0
3,1.0
3,1.0
3,0.99999994
3,1.0
3,1.0
3,1.0
3,0.99999994
3,1.0
3,1.0
3,1.0
3,0.9999999
